round_epochs,val_loss,loss,regularizer,Dropout,hidden_layers,hidden_nodes,epochs,patience
48,13.92480741012694,13.97612146613012,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.3,1,75,1000,3
95,13.274962666795876,13.247270968060262,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.1,0,75,1000,3
87,13.811657721889365,14.049321678999732,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.3,0,200,1000,5
128,13.45871306094771,13.504858766514745,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.1,1,150,1000,5
76,14.241047089206827,14.548979637171916,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.3,2,150,1000,3
85,13.077429542440852,12.895596353005985,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.1,0,150,1000,5
149,13.186602962363049,12.982139825010893,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.1,1,150,1000,10
116,13.54177416346004,13.49467735139322,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.1,1,200,1000,5
70,13.903142848555834,13.822941120186586,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.1,1,150,1000,3
110,13.599283346714634,13.756651985280781,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.3,1,200,1000,5
54,13.861133484852974,13.59364865455325,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.2,1,200,1000,3
111,13.68055306638451,13.791987319764843,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.1,2,150,1000,10
32,13.809227920773791,13.473219691154506,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.3,2,200,1000,3
64,13.452659302462374,13.3034114157222,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.3,2,200,1000,5
117,12.770896727931845,12.849036694113018,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.3,1,75,1000,10
89,13.791686239217391,13.946055646660914,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.2,1,75,1000,5
75,13.122758535722316,12.37642262233073,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.1,2,75,1000,10
166,13.020300398401346,13.187269629870508,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.2,1,150,1000,10
206,13.51482675698313,13.745292230478634,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.3,0,150,1000,10
47,13.063875535547261,13.212688898581206,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.2,2,200,1000,5
71,13.869567488617507,13.772850697604879,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.2,2,200,1000,5
