round_epochs,val_loss,loss,regularizer,lambda,Dropout,hidden_layers,hidden_nodes,epochs
1000,15.042065916086564,12.862849549825977,<function l1 at 0x1a25311bf8>,0.01,0.25,3,100,1000
1000,16.72978621359551,15.176886995948454,<function l1 at 0x1a25311bf8>,0.05,0.5,1,200,1000
300,15.845864014134873,14.021880479253161,<function l1 at 0x1a25311bf8>,0.05,0.1,0,100,300
300,14.774993857481864,11.239962407713703,<function l1 at 0x1a25311bf8>,0.005,0.1,2,50,300
300,18.661180861078027,16.422128137348732,<function l1 at 0x1a25311bf8>,0.1,0.5,3,50,300
1000,14.602680988865352,12.0380795512302,<function l1 at 0x1a25311bf8>,0.005,0.25,1,100,1000
1000,16.998248200932405,15.407032427674377,<function l1 at 0x1a25311bf8>,0.1,0.25,1,50,1000
1000,13.937765464933692,11.89342593768715,<function l1 at 0x1a25311bf8>,0.005,0.25,0,150,1000
500,16.943346234928022,15.624484327884385,<function l1 at 0x1a25311bf8>,0.05,0.5,1,200,500
1000,15.354141726028322,13.775803990434277,<function l1 at 0x1a25311bf8>,0.05,0.1,1,200,1000
300,14.44934608565157,12.465049040547044,<function l1 at 0x1a25311bf8>,0.01,0.1,1,100,300
300,16.592182831273544,14.853475508036457,<function l1 at 0x1a25311bf8>,0.1,0.1,0,50,300
300,14.729423790934218,12.664899937293807,<function l1 at 0x1a25311bf8>,0.005,0.25,3,50,300
300,16.150469712028404,14.861203949691756,<function l1 at 0x1a25311bf8>,0.05,0.1,3,100,300
300,16.875898076865163,15.20201842242162,<function l1 at 0x1a25311bf8>,0.1,0.25,0,150,300
500,16.74233342978445,15.495765381464198,<function l1 at 0x1a25311bf8>,0.05,0.5,1,150,500
500,14.481953714013414,12.648668304305115,<function l1 at 0x1a25311bf8>,0.01,0.25,0,50,500
1000,14.070392180873096,11.96073481882685,<function l1 at 0x1a25311bf8>,0.005,0.25,0,200,1000
1000,18.377444169137597,16.081474752415346,<function l1 at 0x1a25311bf8>,0.1,0.5,1,150,1000
500,18.606951834343985,16.301206407298586,<function l1 at 0x1a25311bf8>,0.1,0.5,2,100,500
1000,16.425977661615942,14.763848587718718,<function l1 at 0x1a25311bf8>,0.05,0.5,0,50,1000
1000,16.356946202884565,14.811395853589103,<function l1 at 0x1a25311bf8>,0.1,0.1,1,50,1000
1000,14.96426511251203,13.830123188541538,<function l1 at 0x1a25311bf8>,0.01,0.5,2,50,1000
500,15.662979975224799,14.419150439961175,<function l1 at 0x1a25311bf8>,0.01,0.5,3,50,500
300,17.86701420555014,16.44463911628939,<function l1 at 0x1a25311bf8>,0.1,0.5,1,50,300
500,16.569090767711952,15.244350916126981,<function l1 at 0x1a25311bf8>,0.1,0.1,1,150,500
1000,14.818436781145966,12.087456123205165,<function l1 at 0x1a25311bf8>,0.01,0.1,2,100,1000
500,14.433971374833805,11.837092003222905,<function l1 at 0x1a25311bf8>,0.005,0.1,1,200,500
1000,18.205076939826906,16.771364654852068,<function l1 at 0x1a25311bf8>,0.05,0.5,3,100,1000
300,15.841316230693405,14.070510292917254,<function l1 at 0x1a25311bf8>,0.05,0.1,0,200,300
300,17.047196863823643,15.748272708426246,<function l1 at 0x1a25311bf8>,0.1,0.5,0,200,300
500,18.103438362282624,16.701812933147426,<function l1 at 0x1a25311bf8>,0.05,0.5,3,100,500
300,14.886891227913406,13.604150403801475,<function l1 at 0x1a25311bf8>,0.01,0.5,0,200,300
500,18.69992451428738,16.39946334467334,<function l1 at 0x1a25311bf8>,0.05,0.1,3,150,500
500,15.422123020745833,14.301219410966503,<function l1 at 0x1a25311bf8>,0.01,0.5,3,200,500
300,19.025151685548646,16.7508449878455,<function l1 at 0x1a25311bf8>,0.05,0.5,3,200,300
500,14.435894433929926,11.43750827633781,<function l1 at 0x1a25311bf8>,0.005,0.1,2,150,500
500,18.494140393501223,16.23763128153195,<function l1 at 0x1a25311bf8>,0.1,0.5,2,50,500
500,16.578828456848466,14.82244537586804,<function l1 at 0x1a25311bf8>,0.1,0.1,1,100,500
500,14.735445444061762,13.443620407432824,<function l1 at 0x1a25311bf8>,0.01,0.5,0,200,500
1000,15.194011968798877,13.396270021846853,<function l1 at 0x1a25311bf8>,0.05,0.1,0,150,1000
500,14.561899838158197,13.053907774582859,<function l1 at 0x1a25311bf8>,0.005,0.5,1,50,500
500,18.990033255403464,16.70017142420042,<function l1 at 0x1a25311bf8>,0.1,0.1,2,200,500
500,14.188293766535052,12.339749740177211,<function l1 at 0x1a25311bf8>,0.005,0.25,0,100,500
300,16.30970925706043,14.666332288074601,<function l1 at 0x1a25311bf8>,0.05,0.5,0,100,300
500,14.461164035394512,12.10919342386628,<function l1 at 0x1a25311bf8>,0.005,0.25,1,100,500
1000,15.75391807908433,14.334591099791997,<function l1 at 0x1a25311bf8>,0.05,0.1,2,200,1000
500,18.929961448609042,16.686007859347765,<function l1 at 0x1a25311bf8>,0.05,0.5,3,200,500
1000,15.411324616786986,11.785016260762717,<function l1 at 0x1a25311bf8>,0.01,0.1,3,200,1000
500,18.92078702368019,16.632085724568178,<function l1 at 0x1a25311bf8>,0.05,0.1,3,200,500
500,14.777680526622682,13.505686613063444,<function l1 at 0x1a25311bf8>,0.01,0.5,1,150,500
300,18.980290088301285,16.710131065221766,<function l1 at 0x1a25311bf8>,0.05,0.1,3,200,300
1000,15.398982996676402,11.78348783188471,<function l1 at 0x1a25311bf8>,0.005,0.25,3,150,1000
300,15.174488709281176,12.929450107457818,<function l1 at 0x1a25311bf8>,0.01,0.1,3,200,300
300,14.552128065859108,13.008402224980287,<function l1 at 0x1a25311bf8>,0.005,0.5,1,200,300
300,16.33641431199529,14.825411541680653,<function l1 at 0x1a25311bf8>,0.05,0.5,0,200,300
1000,14.839792681872687,11.91820854670869,<function l1 at 0x1a25311bf8>,0.005,0.25,2,150,1000
1000,14.836079981207533,12.937557539070449,<function l1 at 0x1a25311bf8>,0.005,0.5,2,200,1000
1000,15.094573656298554,13.69639782025347,<function l1 at 0x1a25311bf8>,0.01,0.5,2,100,1000
1000,16.137630140561228,14.397813063650682,<function l1 at 0x1a25311bf8>,0.1,0.1,0,50,1000
500,18.509203447830078,16.249826312470137,<function l1 at 0x1a25311bf8>,0.1,0.1,1,200,500
500,14.608934449017205,12.75363245204783,<function l1 at 0x1a25311bf8>,0.005,0.5,1,150,500
1000,17.696618457582822,15.942978842747172,<function l1 at 0x1a25311bf8>,0.1,0.5,1,50,1000
1000,18.676866244514887,16.402952032208038,<function l1 at 0x1a25311bf8>,0.1,0.1,2,150,1000
500,14.877318418749404,12.3026566057216,<function l1 at 0x1a25311bf8>,0.01,0.1,3,200,500
1000,15.887312831224426,14.340900023688276,<function l1 at 0x1a25311bf8>,0.05,0.25,0,150,1000
300,16.70801806386983,15.048579331567577,<function l1 at 0x1a25311bf8>,0.1,0.25,0,50,300
500,14.259205379083477,11.987011829561988,<function l1 at 0x1a25311bf8>,0.005,0.1,0,150,500
500,16.246163534300308,14.573175028523394,<function l1 at 0x1a25311bf8>,0.1,0.1,0,50,500
500,15.988438508126855,14.47513966760171,<function l1 at 0x1a25311bf8>,0.05,0.1,1,100,500
300,14.556239763476288,12.962433896005356,<function l1 at 0x1a25311bf8>,0.005,0.5,1,100,300
500,14.694335480793171,13.310629435330798,<function l1 at 0x1a25311bf8>,0.005,0.5,2,150,500
300,14.857062148544593,13.640969010738662,<function l1 at 0x1a25311bf8>,0.01,0.5,0,100,300
500,18.930490790696762,16.675112559058253,<function l1 at 0x1a25311bf8>,0.05,0.25,3,200,500
300,14.374607512692977,12.458254430734153,<function l1 at 0x1a25311bf8>,0.005,0.25,0,150,300
1000,14.200440308663964,12.38402985824464,<function l1 at 0x1a25311bf8>,0.005,0.5,0,100,1000
500,14.974453318402132,13.12020216063762,<function l1 at 0x1a25311bf8>,0.01,0.25,2,50,500
500,18.49355798786737,16.24150854004874,<function l1 at 0x1a25311bf8>,0.1,0.5,1,150,500
500,14.462514288507226,12.731337767630174,<function l1 at 0x1a25311bf8>,0.005,0.5,1,100,500
500,15.953883309477552,14.502659581660684,<function l1 at 0x1a25311bf8>,0.05,0.1,2,100,500
300,17.751872875445123,16.885446147767496,<function l1 at 0x1a25311bf8>,0.05,0.5,3,50,300
1000,18.905977186238232,16.601123254674476,<function l1 at 0x1a25311bf8>,0.1,0.1,2,200,1000
1000,16.826020024382657,15.317607922840226,<function l1 at 0x1a25311bf8>,0.05,0.5,1,150,1000
500,15.21242872202931,13.543146760925431,<function l1 at 0x1a25311bf8>,0.005,0.5,3,200,500
500,16.686111508070006,15.036306690116701,<function l1 at 0x1a25311bf8>,0.1,0.1,1,50,500
1000,14.831153287107522,11.774247931462048,<function l1 at 0x1a25311bf8>,0.01,0.1,2,50,1000
1000,14.750307941185138,12.863089729948465,<function l1 at 0x1a25311bf8>,0.01,0.25,2,50,1000
1000,18.508265150568416,16.244085506296646,<function l1 at 0x1a25311bf8>,0.1,0.1,2,100,1000
1000,14.629257563236207,13.102152669956299,<function l1 at 0x1a25311bf8>,0.01,0.5,0,50,1000
1000,14.195489589016796,12.441103420063161,<function l1 at 0x1a25311bf8>,0.005,0.5,0,150,1000
500,15.861249141139531,14.38031309134288,<function l1 at 0x1a25311bf8>,0.05,0.1,1,50,500
500,18.1872697266551,16.64571593166883,<function l1 at 0x1a25311bf8>,0.05,0.5,2,200,500
1000,17.63935830159049,16.186427304320805,<function l1 at 0x1a25311bf8>,0.1,0.5,1,100,1000
300,14.509863586727736,12.627999221482066,<function l1 at 0x1a25311bf8>,0.01,0.1,0,50,300
1000,14.77893379558674,11.88818795494693,<function l1 at 0x1a25311bf8>,0.005,0.25,2,100,1000
300,16.835091122851207,15.541544212220344,<function l1 at 0x1a25311bf8>,0.05,0.5,1,100,300
300,17.300308821383755,15.982051733801075,<function l1 at 0x1a25311bf8>,0.05,0.5,2,50,300
300,14.676640794899972,13.275214453380753,<function l1 at 0x1a25311bf8>,0.005,0.5,2,100,300
500,16.753834243814676,15.592265585945794,<function l1 at 0x1a25311bf8>,0.05,0.25,3,50,500
500,14.98233296185496,12.456158672561731,<function l1 at 0x1a25311bf8>,0.005,0.25,3,200,500
300,14.669867513047674,13.038187154422126,<function l1 at 0x1a25311bf8>,0.01,0.25,1,200,300
300,15.21656202452164,13.673201187280675,<function l1 at 0x1a25311bf8>,0.01,0.5,1,200,300
500,18.727688228234765,16.498592575436135,<function l1 at 0x1a25311bf8>,0.1,0.25,3,100,500
300,14.690985336152734,13.244599034535115,<function l1 at 0x1a25311bf8>,0.01,0.25,2,50,300
300,15.744328111331507,14.009131305215043,<function l1 at 0x1a25311bf8>,0.05,0.1,2,50,300
300,15.954834022119366,14.340806094868402,<function l1 at 0x1a25311bf8>,0.05,0.1,1,100,300
1000,16.553919351824355,15.230868787754703,<function l1 at 0x1a25311bf8>,0.05,0.25,2,100,1000
1000,18.642466409225264,16.377745590555573,<function l1 at 0x1a25311bf8>,0.05,0.1,3,150,1000
300,15.55282291573396,14.505316209415078,<function l1 at 0x1a25311bf8>,0.01,0.5,3,100,300
1000,18.385379630217138,16.081506569280226,<function l1 at 0x1a25311bf8>,0.1,0.25,2,50,1000
500,14.86290636666532,13.083916447035724,<function l1 at 0x1a25311bf8>,0.01,0.5,1,50,500
500,14.458872830333055,12.405880021886944,<function l1 at 0x1a25311bf8>,0.01,0.1,0,100,500
500,15.784774037967571,14.2922155740982,<function l1 at 0x1a25311bf8>,0.05,0.1,2,150,500
500,18.99056856110102,16.70779350902864,<function l1 at 0x1a25311bf8>,0.1,0.5,2,200,500
1000,15.61501123534029,13.882558664946162,<function l1 at 0x1a25311bf8>,0.05,0.1,0,100,1000
300,16.25258421834981,14.812166193468519,<function l1 at 0x1a25311bf8>,0.05,0.5,0,150,300
300,18.850259237364916,16.58629379834081,<function l1 at 0x1a25311bf8>,0.1,0.5,3,100,300
500,14.27962689915559,11.844197935858237,<function l1 at 0x1a25311bf8>,0.005,0.1,1,100,500
500,14.136057677558355,11.851724997247198,<function l1 at 0x1a25311bf8>,0.005,0.1,0,100,500
1000,16.186576392845616,14.489808216505386,<function l1 at 0x1a25311bf8>,0.1,0.1,0,100,1000
500,14.73876929975122,13.389878031621567,<function l1 at 0x1a25311bf8>,0.005,0.5,2,100,500
300,16.645711579234746,14.748883913759467,<function l1 at 0x1a25311bf8>,0.1,0.1,0,100,300
300,14.79332153652463,13.123112332915396,<function l1 at 0x1a25311bf8>,0.005,0.5,2,150,300
300,16.482621756581327,14.680901334077829,<function l1 at 0x1a25311bf8>,0.1,0.1,0,200,300
300,14.551820247972232,12.66689997378184,<function l1 at 0x1a25311bf8>,0.01,0.1,0,150,300
1000,19.38906521407155,17.131434951471174,<function l1 at 0x1a25311bf8>,0.1,0.25,3,200,1000
300,14.339190962446711,12.953426417786025,<function l1 at 0x1a25311bf8>,0.005,0.5,1,50,300
500,14.705409570860045,12.066224700867252,<function l1 at 0x1a25311bf8>,0.01,0.1,2,50,500
300,14.533364100946914,12.589132344601243,<function l1 at 0x1a25311bf8>,0.01,0.1,1,150,300
500,16.08403691767388,14.409261273635744,<function l1 at 0x1a25311bf8>,0.05,0.25,0,150,500
500,16.221037482208814,14.638654303847732,<function l1 at 0x1a25311bf8>,0.05,0.5,0,50,500
1000,14.437928906845858,11.478074407523513,<function l1 at 0x1a25311bf8>,0.005,0.1,1,100,1000
1000,14.37432115247822,12.845408689125208,<function l1 at 0x1a25311bf8>,0.005,0.5,1,50,1000
1000,15.464687214048682,11.765523260339066,<function l1 at 0x1a25311bf8>,0.01,0.1,3,50,1000
300,15.022473062248531,13.23281470241525,<function l1 at 0x1a25311bf8>,0.01,0.25,2,200,300
1000,18.637470512088182,16.382063122594882,<function l1 at 0x1a25311bf8>,0.05,0.25,3,150,1000
500,16.993979046401375,15.45238324550918,<function l1 at 0x1a25311bf8>,0.1,0.5,0,50,500
1000,15.64847415732834,14.173184229590479,<function l1 at 0x1a25311bf8>,0.05,0.1,1,100,1000
500,17.074197165255182,15.5132632250154,<function l1 at 0x1a25311bf8>,0.1,0.25,1,150,500
1000,16.33521187965977,15.388349168027919,<function l1 at 0x1a25311bf8>,0.05,0.25,3,50,1000
1000,16.268895967025557,14.907759241987598,<function l1 at 0x1a25311bf8>,0.05,0.25,2,200,1000
300,19.09587839473835,16.737649124854013,<function l1 at 0x1a25311bf8>,0.1,0.25,2,200,300
500,14.310623033065594,11.655607087425846,<function l1 at 0x1a25311bf8>,0.005,0.1,1,50,500
500,14.214336406586982,12.043711394442843,<function l1 at 0x1a25311bf8>,0.005,0.1,0,200,500
500,14.511982935399683,12.431415891593337,<function l1 at 0x1a25311bf8>,0.005,0.25,2,50,500
1000,14.06461210426995,11.79059342646788,<function l1 at 0x1a25311bf8>,0.005,0.1,0,150,1000
300,14.360892225381253,11.95241129735858,<function l1 at 0x1a25311bf8>,0.005,0.1,1,150,300
500,17.390248935266662,16.05292975835055,<function l1 at 0x1a25311bf8>,0.05,0.5,2,100,500
1000,15.859375895799621,14.386242665628885,<function l1 at 0x1a25311bf8>,0.05,0.25,1,150,1000
300,15.541793380374958,14.351512349475415,<function l1 at 0x1a25311bf8>,0.01,0.5,3,200,300
300,15.943042483367517,14.060660793179158,<function l1 at 0x1a25311bf8>,0.05,0.1,0,50,300
1000,15.247130024087147,13.777960632557507,<function l1 at 0x1a25311bf8>,0.05,0.1,1,50,1000
