round_epochs,val_loss,loss,regularizer,Dropout,hidden_layers,hidden_nodes,epochs,patience
35,13.958029258848809,13.514304359798928,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,0,75,500,5
25,14.476443376264346,13.852256421729635,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,1,75,500,3
23,15.014882455086017,14.330101663366989,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,2,200,1000,3
23,14.275336695849738,13.954339022004591,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,0,150,1000,3
24,13.628580825624491,12.513089563406472,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,2,150,500,5
36,13.834045581264043,13.031493483961372,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,0,200,1000,5
40,14.432461071769291,12.703855546927533,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,2,200,1000,10
32,14.102168503411527,13.487745460000475,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,2,150,1000,10
61,13.847713066594267,13.26358650440808,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,0,75,1000,10
23,14.450870060983622,14.032786881262151,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,1,150,500,5
34,13.640492020307557,13.25006017976547,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,0,200,500,3
20,13.887384998452381,13.449607799439306,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,0,200,1000,3
57,13.817093703237246,13.363363592162948,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,0,200,1000,10
37,14.222167812739954,13.338856598798984,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,1,150,1000,5
100,13.815498889278926,12.924089196854242,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,0,200,1000,10
42,14.12569236503742,13.406054500005252,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,0,150,500,5
38,14.896966418364432,12.751048161516373,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,2,200,500,10
25,14.184408984272336,13.874270688636926,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,0,200,500,3
32,13.949266202217041,13.225421663588873,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,2,150,1000,5
53,13.701768566876414,13.272604650711283,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,1,75,1000,10
25,14.091070054388927,13.536833131299824,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,0,200,500,5
74,13.827763587629574,13.313183519875341,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,0,150,500,10
67,13.805127649634368,13.163254425722773,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,0,150,1000,10
13,13.665407521743573,13.286610336562921,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,2,150,500,3
40,14.53295557983318,13.435708062160055,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,2,200,500,10
35,14.825660237536267,12.318059029152547,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,2,150,1000,10
37,13.736519286374618,12.95480771080959,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,0,75,500,5
74,14.76121247223625,12.520296998634208,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,2,200,1000,10
39,13.665225972600851,12.680402823779753,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,2,150,500,10
13,14.032925802044629,13.393009246273191,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,1,75,1000,3
22,13.430948994719573,12.948796342480358,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,2,75,1000,5
55,13.898900872484676,13.403901276205026,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,1,150,500,10
24,14.320943236036477,14.009936418025706,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,1,200,1000,5
36,13.351734758996082,12.53716721864141,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,2,150,1000,5
37,13.466629954315428,12.58205961614071,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,2,150,500,10
30,13.562351971628798,12.705949559757151,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,1,150,1000,3
24,14.200350655729348,13.920779955076604,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,0,75,1000,3
39,13.14453761118383,12.735324829378053,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,2,75,1000,10
10,15.015640593455775,14.555480618979086,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,1,200,500,3
45,13.95995682839668,13.293455315068247,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,0,75,1000,5
47,14.140787849325617,13.600267043065108,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,2,150,1000,10
46,13.990134518505087,13.577520773337895,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,2,75,1000,10
25,14.700689139655523,14.234914064677358,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,2,150,500,5
60,14.428919148004779,12.421392446196093,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,2,75,500,10
74,14.004587342053416,12.56942657328138,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,1,150,1000,10
52,13.705980872101394,11.968960374289974,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,1,200,1000,10
33,14.031999203020161,13.606751434395294,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,0,75,1000,5
47,13.195705690610378,12.439977362903841,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,2,150,1000,10
35,13.659761972351879,13.182640651344308,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,0,200,500,10
17,14.829740026066359,13.957790704167712,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,1,150,500,3
18,14.992245465281142,14.221551543048932,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,2,200,500,3
75,13.791667197184701,12.70191226972189,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,1,150,500,10
79,14.466769510334588,11.84110840206643,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,2,150,500,10
23,13.802629170128412,13.28806220904617,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,0,150,1000,3
30,14.244428375465574,13.514558593927127,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,0,150,1000,5
30,13.88673671254382,13.437905978508471,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,1,150,1000,5
28,14.018635225170206,13.57890662628554,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,0,200,1000,5
17,13.877835819777838,13.280125420333846,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,1,200,500,5
31,14.17825722002417,13.906315939612728,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,1,75,1000,5
40,13.878416911907749,12.912115193169358,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,1,200,500,5
55,14.625664809133887,13.257295059860764,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,2,150,500,10
13,15.373483074057384,14.759813655408296,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,1,200,500,3
17,13.770289780911167,13.37749088607045,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,2,150,500,3
11,14.98654544196217,13.500631910218253,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,2,200,500,3
41,13.426707393575784,12.398602497537166,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,1,200,500,10
31,14.011005805476046,13.225428876088403,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,1,200,1000,5
21,14.430033653581363,14.029141368844366,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,1,150,1000,3
20,14.58332849869942,14.017719423244385,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,1,75,1000,3
56,13.84417072386729,13.179036813306107,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,0,150,1000,10
37,13.939718613838458,13.52116150602209,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,0,200,1000,5
31,14.116423119970236,13.737017417143047,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,0,150,1000,5
11,14.60316307249044,14.282126423456662,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,0,150,1000,3
32,13.952036208401884,13.535852663379293,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,2,150,1000,5
21,14.518062319793298,14.04892193393556,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,1,75,1000,3
21,13.850449726889819,13.225365669514018,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,2,75,1000,3
79,13.379121757748889,12.68255576136968,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,0,150,1000,10
17,13.87868088342269,13.467274092331882,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,0,200,500,3
21,14.261154003696895,13.91893380468591,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,2,200,1000,3
38,13.34887836476429,12.719132682610207,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,1,150,1000,10
24,14.137997186907363,13.632115478558827,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,2,200,500,5
23,14.27414274593142,13.828941161608236,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,0,75,1000,3
20,13.666718641497528,13.299262984827717,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,1,150,1000,5
22,14.174709715126058,13.73873800167546,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,0,200,1000,5
69,13.935838498037535,13.261186362122896,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,0,200,1000,10
66,14.006833806201461,12.787102678759046,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,2,200,1000,10
47,14.000611309011253,13.352297750496783,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,0,75,500,5
15,13.860403949163835,13.573469961216064,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,0,200,1000,3
54,13.553320214113018,13.139436052717683,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,2,200,500,10
25,13.76318738202621,13.249760721709963,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,0,75,500,3
81,13.916744604588812,12.963380715315097,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,0,75,500,10
32,14.15225929823903,13.654016477470355,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,0,150,500,3
22,13.749304378881932,12.964917445371807,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,1,200,1000,3
47,13.78934778575847,13.236901300544782,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,0,200,500,5
66,13.85840739172178,13.377458366100273,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,0,75,1000,10
23,14.26689894784409,13.914183862887045,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,0,200,1000,3
22,14.258520876197514,14.036873643557591,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,2,75,500,3
40,13.662878418975266,12.94390166899356,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,0,200,500,5
62,13.946638931385131,12.624547203426857,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,1,75,500,10
25,14.281809670944012,13.947866048845267,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,0,150,500,3
57,13.622088817304546,12.734715750101333,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,2,150,1000,10
43,13.21966235933329,12.209987312049044,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,1,75,500,5
47,14.246264882955828,13.44394196956371,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,2,75,500,5
36,13.840732792122068,13.28486597443491,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,0,75,1000,5
23,14.57783186215524,14.071975184188963,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,1,200,1000,3
20,14.142032087321017,13.904982968607953,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,1,200,1000,3
23,14.714191094551992,14.182677032453423,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,2,200,500,3
63,13.52227087322829,12.651107675761896,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,0,150,500,10
33,14.042500100852946,13.629563136656989,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,0,200,1000,5
25,14.308686226213199,13.885703449206066,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,1,75,500,3
20,14.186606359355997,13.6625677618543,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,2,200,500,3
80,13.686304365424808,12.991112161465706,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,0,75,1000,10
40,14.317988053475332,13.70082116370023,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,1,75,500,5
22,14.129148845622282,13.542929825399362,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,0,200,500,3
70,13.902284581931726,13.111186779233904,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,0,200,500,10
27,13.744321384027325,13.226401103312405,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,0,200,500,5
44,13.912615759706119,13.290994590163097,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,0,150,500,10
69,13.781095940079098,13.370264878494417,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,0,75,500,10
19,13.465203105302473,12.825616875429251,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,1,200,500,5
56,14.326092302327421,13.48326115376007,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,2,75,500,10
38,14.498762923368993,13.308065451150032,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,2,150,1000,5
54,13.269675773177738,12.265539368038674,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,2,75,1000,10
46,13.647958199392837,12.958866459597008,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,0,150,1000,10
20,13.598836740277374,13.017992202179888,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,1,75,500,3
19,13.896849959381022,13.223978068523472,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,1,75,1000,5
49,13.698701179121919,13.180427549109453,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,1,75,500,10
13,14.63604651780745,14.289059784782298,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,1,75,500,3
37,14.178892387249224,13.267566936877413,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,1,200,1000,5
19,13.835978631293868,13.380295236140388,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,0,150,500,5
29,13.987282282444292,13.071971742645125,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,2,200,1000,5
25,14.252582801677935,14.042815976342691,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,1,75,1000,3
43,13.892876706840495,13.574038574676687,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,2,75,1000,5
61,13.7655133018393,12.638430577037289,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,2,75,500,10
26,14.233282587459032,13.64256756870015,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,1,150,500,3
60,13.75795410805453,13.099353509473099,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,0,150,1000,10
7,14.164945282848025,14.103882369476699,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,2,150,1000,3
67,13.617170960418782,13.161867489496148,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,1,150,1000,10
28,14.087928350493902,13.643048023988545,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,0,150,1000,3
19,14.102431629452667,13.57188190015229,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,1,75,1000,3
22,14.117909700700665,13.709451447526838,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,0,150,500,3
18,14.329068133573104,13.900493108807712,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,2,75,1000,5
30,14.206214882138537,13.766883356519896,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,0,200,500,3
24,14.076091960111835,13.549687940699059,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,1,150,1000,5
37,13.639216022944387,13.172435626573227,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,0,200,1000,10
55,13.187607075734,11.610463613291964,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,1,150,500,10
74,13.95100514806984,13.279090154481501,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,0,200,500,10
44,13.995035860972543,12.870657414299176,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.15,2,200,1000,10
16,14.450763835756005,14.252219972362065,<keras.regularizers.L1L2 object at 0x1a2c8a10b8>,0.25,0,75,500,3
39,13.555630887718502,12.592024769680416,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.15,1,75,500,10
20,14.46701689194249,13.759239117934507,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.15,2,150,500,5
27,14.240870933734017,13.70003305610147,<keras.regularizers.L1L2 object at 0x1a2c8a1470>,0.25,1,75,500,3
25,13.752587562500644,13.341644969693936,<keras.regularizers.L1L2 object at 0x1a2c8a1198>,0.25,1,150,500,5
